--with-aix-soname=aix,--with-aix-soname=svr4,--with-aix-soname=both,--with-gnu-ld,--with-zlib,--with-brotli,--with-zstd,--with-ldap-lib,--with-lber-lib,--with-default-ssl-backend=openssl,--with-ssl,--with-random,--with-gnutls,--with-mbedtls,--with-nss,--with-ca-fallback,--with-libmetalink,--with-libssh2,--with-libssh,--with-librtmp,--with-libidn2,--with-nghttp2,--with-zsh-functions-dir,--with-fish-functions-dir,--with-gssapi-includes,--with-gssapi-libs,--with-gssapi,--without-zlib,--without-brotli,--without-zstd,--without-default-ssl-backend,--without-ssl,--without-gnutls,--without-mbedtls,--without-nss,--without-ca-bundle,--without-ca-path,--without-ca-fallback,--without-libpsl,--without-libgsasl,--without-libmetalink,--without-librtmp,--without-winidn,--without-libidn2,--without-nghttp2,--without-zsh-functions-dir,--without-fish-functions-dir,--disable-silent-rules,--disable-debug,--disable-optimize,--disable-warnings,--disable-werror,--disable-curldebug,--disable-symbol-hiding,--disable-hidden-symbols,--disable-ares,--disable-rt,--disable-ech,--disable-dependency-tracking,--disable-largefile,--disable-libtool-lock,--disable-http,--disable-ftp,--disable-file,--disable-ldap,--disable-ldaps,--disable-rtsp,--disable-proxy,--disable-dict,--disable-telnet,--disable-tftp,--disable-pop3,--disable-imap,--disable-smb,--disable-smtp,--disable-gopher,--disable-mqtt,--disable-manual,--disable-libcurl-option,--disable-ipv6,--disable-openssl-auto-load-config,--disable-versioned-symbols,--disable-threaded-resolver,--disable-pthreads,--disable-verbose,--disable-sspi,--disable-ntlm-wb,--disable-tls-srp,--disable-unix-sockets,--disable-cookies,--disable-socketpair,--disable-http-auth,--disable-doh,--disable-mime,--disable-dateparse,--disable-netrc,--disable-progress-meter,--disable-dnsshuffle,--disable-get-easy-options,--disable-alt-svc,--disable-hsts,--enable-maintainer-mode,--enable-silent-rules,--enable-debug,--enable-optimize,--enable-warnings,--enable-curldebug,--enable-symbol-hiding,--enable-hidden-symbols,--enable-ares,--enable-ech,--enable-code-coverage,--enable-dependency-tracking,--enable-shared,--enable-static,--enable-fast-install-http,--enable-ftp,--enable-file,--enable-ldap,--enable-ldaps,--enable-rtsp,--enable-proxy,--enable-dict,--enable-telnet,--enable-tftp,--enable-pop3,--enable-imap,--enable-smb,--enable-smtp,--enable-gopher,--enable-mqtt,--enable-manual,--enable-libcurl-option,--enable-libgcc,--enable-ipv6,--enable-openssl-auto-load-config,--enable-versioned-symbols,--enable-threaded-resolver,--enable-pthreads,--enable-verbose,--enable-sspi,--enable-crypto-auth,--enable-ntlm-wb,--enable-tls-srp,--enable-unix-sockets,--enable-cookies,--enable-socketpair,--enable-http-auth,--enable-doh,--enable-mime,--enable-dateparse,--enable-netrc,--enable-progress-meter,--enable-dnsshuffle,--enable-get-easy-options,--enable-alt-svc,--enable-hsts,binary-size,unit,nr-of-gadgets
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,694792,bytes,17503
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,702520,bytes,17963
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,720792,bytes,17604
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,689680,bytes,17144
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,695216,bytes,17618
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,742248,bytes,17170
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,719072,bytes,17711
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,684696,bytes,17103
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,720792,bytes,17604
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,841480,bytes,29682
