configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205657,0m1.153s
1,tiff,1,1,0,1,1205640,0m1.152s
10,png,1,0,1,1,1349600,0m2.559s
11,png,1,0,0,1,1349691,0m2.581s
12,png,0,1,0,0,3177566,0m5.009s
13,png,0,0,0,0,3177564,0m5.007s
14,png,0,0,0,1,3177559,0m5.000s
15,png,0,1,1,0,3177561,0m4.975s
2,tiff,1,0,1,1,1206030,0m1.151s
3,tiff,1,0,0,1,1205640,0m1.204s
4,tiff,0,1,0,0,3876303,0m1.308s
5,tiff,0,0,0,0,3875898,0m1.311s
6,tiff,0,0,0,1,3875940,0m1.346s
7,tiff,0,1,1,0,3875893,0m1.315s
8,png,1,1,1,1,1349661,0m2.548s
9,png,1,1,0,1,1349606,0m2.532s
