configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612703,0m1.345s
1,tiff,1,1,0,1,1612676,0m1.344s
10,png,1,0,1,1,1577747,0m3.137s
11,png,1,0,0,1,1577746,0m3.107s
12,png,0,1,0,0,2357341,0m5.080s
13,png,0,0,0,0,2357340,0m5.081s
14,png,0,0,0,1,2341675,0m4.864s
15,png,0,1,1,0,2357348,0m5.042s
2,tiff,1,0,1,1,1612665,0m1.380s
3,tiff,1,0,0,1,1612681,0m1.315s
4,tiff,0,1,0,0,2762584,0m1.417s
5,tiff,0,0,0,0,2762098,0m1.441s
6,tiff,0,0,0,1,2745019,0m1.381s
7,tiff,0,1,1,0,2761954,0m1.399s
8,png,1,1,1,1,1577756,0m3.115s
9,png,1,1,0,1,1577755,0m3.088s
