configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362640,0m6.060s
1,tiff,1,1,0,1,6362634,0m6.103s
10,png,1,0,1,1,6662793,0m12.273s
11,png,1,0,0,1,6662523,0m12.283s
12,png,0,1,0,0,10651906,0m31.717s
13,png,0,0,0,0,10651915,0m31.853s
14,png,0,0,0,1,10651878,0m31.734s
15,png,0,1,1,0,10651939,0m31.711s
2,tiff,1,0,1,1,6362690,0m6.050s
3,tiff,1,0,0,1,6362675,0m6.046s
4,tiff,0,1,0,0,11409341,0m9.299s
5,tiff,0,0,0,0,11409777,0m9.397s
6,tiff,0,0,0,1,11409263,0m9.228s
7,tiff,0,1,1,0,11409916,0m9.266s
8,png,1,1,1,1,6662495,0m12.297s
9,png,1,1,0,1,6662474,0m12.360s
