configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739161,0m1.731s
1,tiff,1,1,0,1,739163,0m1.739s
10,png,1,0,1,1,739160,0m1.709s
11,png,1,0,0,1,739164,0m1.734s
12,png,0,1,0,0,3168075,0m5.409s
13,png,0,0,0,0,3168066,0m5.424s
14,png,0,0,0,1,3168070,0m5.440s
15,png,0,1,1,0,3168073,0m5.387s
2,tiff,1,0,1,1,739164,0m1.721s
3,tiff,1,0,0,1,739162,0m1.697s
4,tiff,0,1,0,0,4807631,0m1.836s
5,tiff,0,0,0,0,4807709,0m1.830s
6,tiff,0,0,0,1,4807629,0m1.845s
7,tiff,0,1,1,0,4807718,0m1.819s
8,png,1,1,1,1,739163,0m1.695s
9,png,1,1,0,1,739165,0m1.720s
