configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2214681,0m4.240s
1,tiff,1,1,0,1,2213367,0m4.280s
10,png,1,0,1,1,1753346,0m8.277s
11,png,1,0,0,1,1753264,0m8.247s
12,png,0,1,0,0,1894322,0m8.299s
13,png,0,0,0,0,1894351,0m8.412s
14,png,0,0,0,1,1894475,0m8.272s
15,png,0,1,1,0,1894271,0m8.305s
2,tiff,1,0,1,1,2213121,0m4.208s
3,tiff,1,0,0,1,2213146,0m4.194s
4,tiff,0,1,0,0,2401746,0m4.314s
5,tiff,0,0,0,0,2401255,0m4.251s
6,tiff,0,0,0,1,2400407,0m4.255s
7,tiff,0,1,1,0,2401083,0m4.292s
8,png,1,1,1,1,1753387,0m8.214s
9,png,1,1,0,1,1753300,0m8.369s
