configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3273933,0m5.408s
1,tiff,1,1,0,1,3273976,0m5.518s
10,png,1,0,1,1,3254952,0m8.828s
11,png,1,0,0,1,3254940,0m8.797s
12,png,0,1,0,0,8502361,0m26.187s
13,png,0,0,0,0,8502329,0m26.168s
14,png,0,0,0,1,8502328,0m26.243s
15,png,0,1,1,0,8502390,0m26.330s
2,tiff,1,0,1,1,3273945,0m5.525s
3,tiff,1,0,0,1,3273905,0m5.454s
4,tiff,0,1,0,0,10068936,0m6.148s
5,tiff,0,0,0,0,10068898,0m6.129s
6,tiff,0,0,0,1,10068929,0m6.190s
7,tiff,0,1,1,0,10068843,0m6.204s
8,png,1,1,1,1,3254973,0m8.833s
9,png,1,1,0,1,3254917,0m8.854s
