configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255152,0m8.298s
1,tiff,1,1,0,1,15255278,0m8.462s
10,png,1,0,1,1,15095086,0m24.861s
11,png,1,0,0,1,15095140,0m24.987s
12,png,0,1,0,0,14807390,0m31.777s
13,png,0,0,0,0,14807435,0m31.636s
14,png,0,0,0,1,14807374,0m31.684s
15,png,0,1,1,0,14807434,0m31.551s
2,tiff,1,0,1,1,15257039,0m8.278s
3,tiff,1,0,0,1,15255420,0m8.276s
4,tiff,0,1,0,0,14377433,0m8.797s
5,tiff,0,0,0,0,14377168,0m8.829s
6,tiff,0,0,0,1,14376773,0m8.792s
7,tiff,0,1,1,0,14377547,0m8.777s
8,png,1,1,1,1,15095110,0m24.894s
9,png,1,1,0,1,15095093,0m25.006s
