configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175495,0m0.202s
1,tiff,1,1,0,1,175428,0m0.168s
10,png,1,0,1,1,169391,0m0.199s
11,png,1,0,0,1,169391,0m0.171s
12,png,0,1,0,0,1185042,0m2.956s
13,png,0,0,0,0,1185031,0m2.868s
14,png,0,0,0,1,1184904,0m2.878s
15,png,0,1,1,0,1185039,0m2.887s
2,tiff,1,0,1,1,175512,0m0.171s
3,tiff,1,0,0,1,175433,0m0.190s
4,tiff,0,1,0,0,1698446,0m0.371s
5,tiff,0,0,0,0,1698409,0m0.381s
6,tiff,0,0,0,1,1696510,0m0.369s
7,tiff,0,1,1,0,1698328,0m0.345s
8,png,1,1,1,1,169386,0m0.172s
9,png,1,1,0,1,169386,0m0.172s
