configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536658,0m1.855s
1,tiff,1,1,0,1,1536638,0m1.873s
10,png,1,0,1,1,1615778,0m3.558s
11,png,1,0,0,1,1615752,0m3.614s
12,png,0,1,0,0,1843154,0m3.748s
13,png,0,0,0,0,1843143,0m3.730s
14,png,0,0,0,1,1843149,0m3.755s
15,png,0,1,1,0,1843141,0m3.711s
2,tiff,1,0,1,1,1536657,0m1.856s
3,tiff,1,0,0,1,1536644,0m1.881s
4,tiff,0,1,0,0,1795124,0m1.894s
5,tiff,0,0,0,0,1795010,0m1.883s
6,tiff,0,0,0,1,1795108,0m1.856s
7,tiff,0,1,1,0,1795013,0m1.923s
8,png,1,1,1,1,1615766,0m3.521s
9,png,1,1,0,1,1615761,0m3.553s
