configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,10928411,1.73, 0.08, 0:00.39, 464, 479 , 1238.06 , 4380.49
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,8013609,10.76, 0.17, 0:02.29, 476, 479 , 209.38 , 3212.14
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,11008114,10.48, 0.18, 0:02.13, 500, 479 , 225.12 , 4412.44
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,10983469,12.15, 0.13, 0:02.11, 582, 479 , 227.61 , 4402.56
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,7930298,17.04, 0.11, 0:02.59, 661, 479 , 184.98 , 3178.74
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,7859387,12.09, 0.14, 0:01.96, 622, 479 , 244.11 , 3150.32
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,10236077,9.05, 0.10, 0:01.47, 623, 479 , 327.51 , 4102.98
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,10205731,10.49, 0.12, 0:01.86, 570, 479 , 258.46 , 4090.81
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,8498289,7.25, 0.16, 0:01.62, 455, 479 , 295.32 , 3406.41
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,8646429,8.58, 0.10, 0:01.64, 527, 479 , 291.61 , 3465.79
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,11841761,9.54, 0.14, 0:01.72, 561, 479 , 278.25 , 4746.59
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,8641414,2.28, 0.08, 0:00.46, 509, 479 , 1043.63 , 3463.78
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,7536803,16.24, 0.20, 0:02.84, 577, 479 , 168.48 , 3021.01
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,8667401,11.54, 0.13, 0:01.99, 584, 479 , 240.78 , 3474.20
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8643535,14.25, 0.15, 0:02.60, 554, 479 , 184.69 , 3464.63
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,8431310,8.72, 0.15, 0:01.68, 528, 479 , 285.75 , 3379.56
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,11818007,15.46, 0.19, 0:02.68, 583, 479 , 178.94 , 4737.07
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,8247651,16.53, 0.14, 0:02.55, 651, 479 , 187.61 , 3305.95
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8667401,11.30, 0.15, 0:01.85, 617, 479 , 258.82 , 3474.20
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9908400,12.96, 0.11, 0:01.99, 655, 479 , 241.11 , 3971.63
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,8188073,10.45, 0.15, 0:01.91, 554, 479 , 251.43 , 3282.07
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,8188073,10.63, 0.11, 0:01.87, 572, 479 , 256.18 , 3282.07
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,8641414,2.42, 0.07, 0:00.44, 558, 479 , 1081.43 , 3463.78
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,11264784,11.64, 0.13, 0:01.99, 591, 479 , 241.24 , 4515.32
