configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,2618072,0m1.873s
1,50%,xz,-3,1,2618064,0m1.863s
10,100%,xz,-9,1,2426816,0m3.107s
11,50%,lzma,-6,16,2426397,0m3.072s
12,75%,xz,-3,32,2618072,0m1.888s
13,50%,lzma,-3,16,2617615,0m1.882s
14,50%,lzma,-6,32,2426397,0m3.045s
15,50%,xz,-6,32,2426824,0m3.109s
16,75%,lzma,-3,16,2617615,0m1.859s
17,75%,lzma,-6,32,2426397,0m3.103s
18,100%,lzma,-6,1,2426397,0m3.046s
19,75%,lzma,-3,1,2617615,0m1.875s
2,75%,xz,-9,16,2426824,0m3.093s
20,75%,lzma,-6,1,2426397,0m3.044s
21,75%,lzma,-6,16,2426397,0m3.073s
22,100%,xz,-9,32,2426824,0m3.121s
23,100%,xz,-9,16,2426824,0m3.128s
24,50%,lzma,-9,32,2426397,0m3.073s
25,50%,lzma,-3,32,2617615,0m1.884s
26,100%,xz,-3,1,2618064,0m1.843s
27,100%,lzma,-9,16,2426397,0m3.115s
28,100%,lzma,-3,1,2617615,0m1.827s
29,50%,lzma,-6,1,2426397,0m3.052s
3,100%,xz,-6,32,2426824,0m3.067s
4,50%,lzma,-3,1,2617615,0m1.849s
5,75%,xz,-3,1,2618064,0m1.842s
6,100%,lzma,-6,16,2426397,0m3.067s
7,75%,xz,-6,32,2426824,0m3.097s
8,50%,xz,-3,32,2618072,0m1.850s
9,75%,xz,-9,32,2426824,0m3.130s
