configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,10432656,0m5.284s
1,50%,xz,-3,1,10362252,0m12.563s
10,100%,xz,-9,1,8385868,0m36.446s
11,50%,lzma,-6,16,8627467,0m31.950s
12,75%,xz,-3,32,10432656,0m5.299s
13,50%,lzma,-3,16,10360607,0m12.553s
14,50%,lzma,-6,32,8627467,0m31.743s
15,50%,xz,-6,32,8712308,0m19.894s
16,75%,lzma,-3,16,10360607,0m12.619s
17,75%,lzma,-6,32,8627467,0m32.037s
18,100%,lzma,-6,1,8627467,0m32.057s
19,75%,lzma,-3,1,10360607,0m12.742s
2,75%,xz,-9,16,8385876,0m36.478s
20,75%,lzma,-6,1,8627467,0m31.826s
21,75%,lzma,-6,16,8627467,0m31.883s
22,100%,xz,-9,32,8385876,0m36.517s
23,100%,xz,-9,16,8385876,0m36.641s
24,50%,lzma,-9,32,8384529,0m36.485s
25,50%,lzma,-3,32,10360607,0m12.574s
26,100%,xz,-3,1,10362252,0m12.619s
27,100%,lzma,-9,16,8384529,0m36.491s
28,100%,lzma,-3,1,10360607,0m12.630s
29,50%,lzma,-6,1,8627467,0m31.945s
3,100%,xz,-6,32,8712308,0m20.005s
4,50%,lzma,-3,1,10360607,0m12.714s
5,75%,xz,-3,1,10362252,0m12.753s
6,100%,lzma,-6,16,8627467,0m31.870s
7,75%,xz,-6,32,8712308,0m19.910s
8,50%,xz,-3,32,10432656,0m5.264s
9,75%,xz,-9,32,8385876,0m36.531s
