configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4914796,0m3.500s
1,50%,xz,-3,1,4914796,0m3.472s
10,100%,xz,-9,1,4489868,0m4.242s
11,50%,lzma,-6,16,4489170,0m4.269s
12,75%,xz,-3,32,4914796,0m3.457s
13,50%,lzma,-3,16,4913990,0m3.528s
14,50%,lzma,-6,32,4489170,0m4.241s
15,50%,xz,-6,32,4489912,0m4.222s
16,75%,lzma,-3,16,4913990,0m3.465s
17,75%,lzma,-6,32,4489170,0m4.249s
18,100%,lzma,-6,1,4489170,0m4.225s
19,75%,lzma,-3,1,4913990,0m3.472s
2,75%,xz,-9,16,4489868,0m4.236s
20,75%,lzma,-6,1,4489170,0m4.227s
21,75%,lzma,-6,16,4489170,0m4.223s
22,100%,xz,-9,32,4489868,0m4.254s
23,100%,xz,-9,16,4489868,0m4.221s
24,50%,lzma,-9,32,4489124,0m4.235s
25,50%,lzma,-3,32,4913990,0m3.462s
26,100%,xz,-3,1,4914796,0m3.467s
27,100%,lzma,-9,16,4489124,0m4.331s
28,100%,lzma,-3,1,4913990,0m3.462s
29,50%,lzma,-6,1,4489170,0m4.224s
3,100%,xz,-6,32,4489912,0m4.279s
4,50%,lzma,-3,1,4913990,0m3.513s
5,75%,xz,-3,1,4914796,0m3.504s
6,100%,lzma,-6,16,4489170,0m4.259s
7,75%,xz,-6,32,4489912,0m4.299s
8,50%,xz,-3,32,4914796,0m3.491s
9,75%,xz,-9,32,4489868,0m4.254s
