configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,14838428,0m3.145s
1,50%,xz,-3,1,14777004,0m9.673s
10,100%,xz,-9,1,13374160,0m27.395s
11,50%,lzma,-6,16,13497551,0m24.464s
12,75%,xz,-3,32,14838428,0m3.147s
13,50%,lzma,-3,16,14775082,0m9.696s
14,50%,lzma,-6,32,13497551,0m24.407s
15,50%,xz,-6,32,13577880,0m12.831s
16,75%,lzma,-3,16,14775082,0m9.650s
17,75%,lzma,-6,32,13497551,0m24.344s
18,100%,lzma,-6,1,13497551,0m24.532s
19,75%,lzma,-3,1,14775082,0m9.720s
2,75%,xz,-9,16,13374168,0m27.448s
20,75%,lzma,-6,1,13497551,0m24.399s
21,75%,lzma,-6,16,13497551,0m24.523s
22,100%,xz,-9,32,13374168,0m27.401s
23,100%,xz,-9,16,13374168,0m27.495s
24,50%,lzma,-9,32,13365111,0m27.362s
25,50%,lzma,-3,32,14775082,0m9.663s
26,100%,xz,-3,1,14777004,0m9.700s
27,100%,lzma,-9,16,13365111,0m27.572s
28,100%,lzma,-3,1,14775082,0m9.739s
29,50%,lzma,-6,1,13497551,0m24.364s
3,100%,xz,-6,32,13577880,0m12.881s
4,50%,lzma,-3,1,14775082,0m9.675s
5,75%,xz,-3,1,14777004,0m9.744s
6,100%,lzma,-6,16,13497551,0m24.375s
7,75%,xz,-6,32,13577880,0m12.994s
8,50%,xz,-3,32,14838428,0m3.136s
9,75%,xz,-9,32,13374168,0m27.542s
