configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3382420,0m3.971s
1,50%,xz,-3,1,3382412,0m3.960s
10,100%,xz,-9,1,2830604,0m7.952s
11,50%,lzma,-6,16,2831189,0m7.805s
12,75%,xz,-3,32,3382420,0m4.008s
13,50%,lzma,-3,16,3381840,0m3.952s
14,50%,lzma,-6,32,2831189,0m7.858s
15,50%,xz,-6,32,2831684,0m7.848s
16,75%,lzma,-3,16,3381840,0m3.984s
17,75%,lzma,-6,32,2831189,0m7.796s
18,100%,lzma,-6,1,2831189,0m7.812s
19,75%,lzma,-3,1,3381840,0m3.912s
2,75%,xz,-9,16,2830612,0m7.989s
20,75%,lzma,-6,1,2831189,0m7.827s
21,75%,lzma,-6,16,2831189,0m7.891s
22,100%,xz,-9,32,2830612,0m8.020s
23,100%,xz,-9,16,2830612,0m7.989s
24,50%,lzma,-9,32,2830116,0m7.927s
25,50%,lzma,-3,32,3381840,0m4.024s
26,100%,xz,-3,1,3382412,0m4.006s
27,100%,lzma,-9,16,2830116,0m7.975s
28,100%,lzma,-3,1,3381840,0m3.980s
29,50%,lzma,-6,1,2831189,0m7.838s
3,100%,xz,-6,32,2831684,0m7.897s
4,50%,lzma,-3,1,3381840,0m3.948s
5,75%,xz,-3,1,3382412,0m3.959s
6,100%,lzma,-6,16,2831189,0m7.840s
7,75%,xz,-6,32,2831684,0m7.817s
8,50%,xz,-3,32,3382420,0m4.017s
9,75%,xz,-9,32,2830612,0m7.978s
