configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3272448,0m2.275s
1,50%,xz,-3,1,3272440,0m2.257s
10,100%,xz,-9,1,2849908,0m5.543s
11,50%,lzma,-6,16,2849620,0m5.509s
12,75%,xz,-3,32,3272448,0m2.279s
13,50%,lzma,-3,16,3271884,0m2.240s
14,50%,lzma,-6,32,2849620,0m5.522s
15,50%,xz,-6,32,2850112,0m5.498s
16,75%,lzma,-3,16,3271884,0m2.215s
17,75%,lzma,-6,32,2849620,0m5.530s
18,100%,lzma,-6,1,2849620,0m5.531s
19,75%,lzma,-3,1,3271884,0m2.252s
2,75%,xz,-9,16,2849916,0m5.637s
20,75%,lzma,-6,1,2849620,0m5.501s
21,75%,lzma,-6,16,2849620,0m5.526s
22,100%,xz,-9,32,2849916,0m5.594s
23,100%,xz,-9,16,2849916,0m5.602s
24,50%,lzma,-9,32,2849422,0m5.603s
25,50%,lzma,-3,32,3271884,0m2.223s
26,100%,xz,-3,1,3272440,0m2.253s
27,100%,lzma,-9,16,2849422,0m5.577s
28,100%,lzma,-3,1,3271884,0m2.234s
29,50%,lzma,-6,1,2849620,0m5.499s
3,100%,xz,-6,32,2850112,0m5.493s
4,50%,lzma,-3,1,3271884,0m2.215s
5,75%,xz,-3,1,3272440,0m2.239s
6,100%,lzma,-6,16,2849620,0m5.503s
7,75%,xz,-6,32,2850112,0m5.499s
8,50%,xz,-3,32,3272448,0m2.253s
9,75%,xz,-9,32,2849916,0m5.606s
