configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,1677984,0m1.718s
1,50%,xz,-3,1,1677976,0m1.703s
10,100%,xz,-9,1,1317152,0m4.823s
11,50%,lzma,-6,16,1316901,0m4.742s
12,75%,xz,-3,32,1677984,0m1.714s
13,50%,lzma,-3,16,1677670,0m1.683s
14,50%,lzma,-6,32,1316901,0m4.766s
15,50%,xz,-6,32,1317160,0m4.777s
16,75%,lzma,-3,16,1677670,0m1.693s
17,75%,lzma,-6,32,1316901,0m4.706s
18,100%,lzma,-6,1,1316901,0m4.740s
19,75%,lzma,-3,1,1677670,0m1.718s
2,75%,xz,-9,16,1317160,0m4.824s
20,75%,lzma,-6,1,1316901,0m4.769s
21,75%,lzma,-6,16,1316901,0m4.710s
22,100%,xz,-9,32,1317160,0m4.838s
23,100%,xz,-9,16,1317160,0m4.841s
24,50%,lzma,-9,32,1316901,0m4.773s
25,50%,lzma,-3,32,1677670,0m1.688s
26,100%,xz,-3,1,1677976,0m1.677s
27,100%,lzma,-9,16,1316901,0m4.795s
28,100%,lzma,-3,1,1677670,0m1.693s
29,50%,lzma,-6,1,1316901,0m4.724s
3,100%,xz,-6,32,1317160,0m4.774s
4,50%,lzma,-3,1,1677670,0m1.700s
5,75%,xz,-3,1,1677976,0m1.672s
6,100%,lzma,-6,16,1316901,0m4.720s
7,75%,xz,-6,32,1317160,0m4.754s
8,50%,xz,-3,32,1677984,0m1.725s
9,75%,xz,-9,32,1317160,0m4.842s
