configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,515656,0m0.490s
1,50%,xz,-3,1,515648,0m0.458s
10,100%,xz,-9,1,453260,0m1.557s
11,50%,lzma,-6,16,453144,0m1.508s
12,75%,xz,-3,32,515656,0m0.486s
13,50%,lzma,-3,16,515524,0m0.440s
14,50%,lzma,-6,32,453144,0m1.494s
15,50%,xz,-6,32,453268,0m1.538s
16,75%,lzma,-3,16,515524,0m0.481s
17,75%,lzma,-6,32,453144,0m1.521s
18,100%,lzma,-6,1,453144,0m1.526s
19,75%,lzma,-3,1,515524,0m0.457s
2,75%,xz,-9,16,453268,0m1.598s
20,75%,lzma,-6,1,453144,0m1.519s
21,75%,lzma,-6,16,453144,0m1.495s
22,100%,xz,-9,32,453268,0m1.561s
23,100%,xz,-9,16,453268,0m1.563s
24,50%,lzma,-9,32,453144,0m1.566s
25,50%,lzma,-3,32,515524,0m0.444s
26,100%,xz,-3,1,515648,0m0.473s
27,100%,lzma,-9,16,453144,0m1.543s
28,100%,lzma,-3,1,515524,0m0.441s
29,50%,lzma,-6,1,453144,0m1.495s
3,100%,xz,-6,32,453268,0m1.532s
4,50%,lzma,-3,1,515524,0m0.464s
5,75%,xz,-3,1,515648,0m0.486s
6,100%,lzma,-6,16,453144,0m1.494s
7,75%,xz,-6,32,453268,0m1.508s
8,50%,xz,-3,32,515656,0m0.489s
9,75%,xz,-9,32,453268,0m1.602s
