configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3001852,0m2.650s
1,50%,xz,-3,1,3001844,0m2.602s
10,100%,xz,-9,1,2750272,0m5.391s
11,50%,lzma,-6,16,2749760,0m5.234s
12,75%,xz,-3,32,3001852,0m2.649s
13,50%,lzma,-3,16,3001334,0m2.625s
14,50%,lzma,-6,32,2749760,0m5.228s
15,50%,xz,-6,32,2750236,0m5.237s
16,75%,lzma,-3,16,3001334,0m2.601s
17,75%,lzma,-6,32,2749760,0m5.260s
18,100%,lzma,-6,1,2749760,0m5.264s
19,75%,lzma,-3,1,3001334,0m2.659s
2,75%,xz,-9,16,2750280,0m5.370s
20,75%,lzma,-6,1,2749760,0m5.260s
21,75%,lzma,-6,16,2749760,0m5.242s
22,100%,xz,-9,32,2750280,0m5.347s
23,100%,xz,-9,16,2750280,0m5.367s
24,50%,lzma,-9,32,2749803,0m5.329s
25,50%,lzma,-3,32,3001334,0m2.617s
26,100%,xz,-3,1,3001844,0m2.634s
27,100%,lzma,-9,16,2749803,0m5.364s
28,100%,lzma,-3,1,3001334,0m2.591s
29,50%,lzma,-6,1,2749760,0m5.209s
3,100%,xz,-6,32,2750236,0m5.244s
4,50%,lzma,-3,1,3001334,0m2.644s
5,75%,xz,-3,1,3001844,0m2.620s
6,100%,lzma,-6,16,2749760,0m5.223s
7,75%,xz,-6,32,2750236,0m5.186s
8,50%,xz,-3,32,3001852,0m2.634s
9,75%,xz,-9,32,2750280,0m5.346s
