configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,2131652,0m2.546s
1,50%,xz,-3,1,2131652,0m2.553s
10,100%,xz,-9,1,1738884,0m11.817s
11,50%,lzma,-6,16,1778958,0m11.853s
12,75%,xz,-3,32,2131652,0m2.586s
13,50%,lzma,-3,16,2131278,0m2.528s
14,50%,lzma,-6,32,1778958,0m11.886s
15,50%,xz,-6,32,1779272,0m11.794s
16,75%,lzma,-3,16,2131278,0m2.551s
17,75%,lzma,-6,32,1778958,0m11.741s
18,100%,lzma,-6,1,1778958,0m11.729s
19,75%,lzma,-3,1,2131278,0m2.548s
2,75%,xz,-9,16,1738884,0m11.812s
20,75%,lzma,-6,1,1778958,0m11.778s
21,75%,lzma,-6,16,1778958,0m11.807s
22,100%,xz,-9,32,1738884,0m11.818s
23,100%,xz,-9,16,1738884,0m11.827s
24,50%,lzma,-9,32,1738572,0m11.778s
25,50%,lzma,-3,32,2131278,0m2.584s
26,100%,xz,-3,1,2131652,0m2.572s
27,100%,lzma,-9,16,1738572,0m11.792s
28,100%,lzma,-3,1,2131278,0m2.532s
29,50%,lzma,-6,1,1778958,0m11.817s
3,100%,xz,-6,32,1779272,0m11.819s
4,50%,lzma,-3,1,2131278,0m2.534s
5,75%,xz,-3,1,2131652,0m2.549s
6,100%,lzma,-6,16,1778958,0m11.833s
7,75%,xz,-6,32,1779272,0m12.028s
8,50%,xz,-3,32,2131652,0m2.537s
9,75%,xz,-9,32,1738884,0m11.837s
