configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4853736,0m2.898s
1,50%,xz,-3,1,4853736,0m2.890s
10,100%,xz,-9,1,4415072,0m3.737s
11,50%,lzma,-6,16,4414351,0m3.754s
12,75%,xz,-3,32,4853736,0m2.894s
13,50%,lzma,-3,16,4852943,0m2.888s
14,50%,lzma,-6,32,4414351,0m3.779s
15,50%,xz,-6,32,4415072,0m3.743s
16,75%,lzma,-3,16,4852943,0m2.873s
17,75%,lzma,-6,32,4414351,0m3.790s
18,100%,lzma,-6,1,4414351,0m3.796s
19,75%,lzma,-3,1,4852943,0m2.870s
2,75%,xz,-9,16,4415072,0m3.706s
20,75%,lzma,-6,1,4414351,0m3.806s
21,75%,lzma,-6,16,4414351,0m3.791s
22,100%,xz,-9,32,4415072,0m3.688s
23,100%,xz,-9,16,4415072,0m3.709s
24,50%,lzma,-9,32,4414351,0m3.753s
25,50%,lzma,-3,32,4852943,0m2.862s
26,100%,xz,-3,1,4853736,0m2.891s
27,100%,lzma,-9,16,4414351,0m3.691s
28,100%,lzma,-3,1,4852943,0m2.887s
29,50%,lzma,-6,1,4414351,0m3.770s
3,100%,xz,-6,32,4415072,0m3.772s
4,50%,lzma,-3,1,4852943,0m2.892s
5,75%,xz,-3,1,4853736,0m2.904s
6,100%,lzma,-6,16,4414351,0m3.804s
7,75%,xz,-6,32,4415072,0m3.759s
8,50%,xz,-3,32,4853736,0m2.865s
9,75%,xz,-9,32,4415072,0m3.692s
