configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,4248448,0m2.033s
1,50%,xz,-3,1,4244480,0m3.138s
10,100%,xz,-9,1,3763616,0m8.905s
11,50%,lzma,-6,16,3786768,0m8.762s
12,75%,xz,-3,32,4248448,0m2.030s
13,50%,lzma,-3,16,4243773,0m3.065s
14,50%,lzma,-6,32,3786768,0m8.791s
15,50%,xz,-6,32,3787408,0m8.721s
16,75%,lzma,-3,16,4243773,0m3.065s
17,75%,lzma,-6,32,3786768,0m8.751s
18,100%,lzma,-6,1,3786768,0m8.717s
19,75%,lzma,-3,1,4243773,0m3.090s
2,75%,xz,-9,16,3763624,0m8.976s
20,75%,lzma,-6,1,3786768,0m8.707s
21,75%,lzma,-6,16,3786768,0m8.733s
22,100%,xz,-9,32,3763624,0m8.947s
23,100%,xz,-9,16,3763624,0m8.981s
24,50%,lzma,-9,32,3762987,0m8.904s
25,50%,lzma,-3,32,4243773,0m3.095s
26,100%,xz,-3,1,4244480,0m3.092s
27,100%,lzma,-9,16,3762987,0m9.013s
28,100%,lzma,-3,1,4243773,0m3.084s
29,50%,lzma,-6,1,3786768,0m8.749s
3,100%,xz,-6,32,3787408,0m8.708s
4,50%,lzma,-3,1,4243773,0m3.072s
5,75%,xz,-3,1,4244480,0m3.125s
6,100%,lzma,-6,16,3786768,0m8.720s
7,75%,xz,-6,32,3787408,0m8.721s
8,50%,xz,-3,32,4248448,0m2.074s
9,75%,xz,-9,32,3763624,0m8.919s
