--with-select_module,--with-poll_module,--with-threads,--with-file-aio,--with-http_ssl_module,--with-http_v2_module,--with-http_realip_module,--with-http_addition_module,--with-http_xslt_module,--with-http_xslt_module=dynamic,--with-http_image_filter_module,--with-http_image_filter_module=dynamic,--with-http_geoip_module,--with-http_geoip_module=dynamic,--with-http_sub_module,--with-http_dav_module,--with-http_flv_module,--with-http_mp4_module,--with-http_gunzip_module,--with-http_gzip_static_module,--with-http_auth_request_module,--with-http_random_index_module,--with-http_secure_link_module,--with-http_degradation_module,--with-http_slice_module,--with-http_stub_status_module,--with-http_perl_module=dynamic,--with-mail,--with-mail=dynamic,--with-mail_ssl_module,--with-stream,--with-stream=dynamic,--with-stream_ssl_module,--with-stream_realip_module,--with-stream_geoip_module,--with-stream_geoip_module=dynamic,--with-stream_ssl_preread_module,--with-google_perftools_module,--with-compat,--with-pcre,--with-pcre-jit,--with-zlib-asm=CPU,--with-libatomic,--with-debug,--without-select_module,--without-poll_module,--without-http_charset_module,--without-http_gzip_module,--without-http_ssi_module,--without-http_userid_module,--without-http_access_module,--without-http_auth_basic_module,--without-http_mirror_module,--without-http_autoindex_module,--without-http_geo_module,--without-http_map_module,--without-http_split_clients_module,--without-http_referer_module,--without-http_rewrite_module,--without-http_proxy_module,--without-http_fastcgi_module,--without-http_uwsgi_module,--without-http_scgi_module,--without-http_grpc_module,--without-http_memcached_module,--without-http_limit_conn_module,--without-http_limit_req_module,--without-http_empty_gif_module,--without-http_browser_module,--without-http_upstream_hash_module,--without-http_upstream_ip_hash_module,--without-http_upstream_least_conn_module,--without-http_upstream_random_module,--without-http_upstream_keepalive_module,--without-http_upstream_zone_module,--without-http,--without-http-cache,--without-mail_pop3_module,--without-mail_imap_module,--without-mail_smtp_module,--without-stream_limit_conn_module,--without-stream_access_module,--without-stream_geo_module,--without-stream_map_module,--without-stream_split_clients_module,--without-stream_return_module,--without-stream_upstream_hash_module,--without-stream_upstream_least_conn_module,--without-stream_upstream_random_module,--without-stream_upstream_zone_module,binary-size,unit,nr-of-gadgets
true,false,true,false,false,false,true,false,true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,false,false,false,false,true,true,true,false,false,true,true,false,true,true,false,false,false,false,false,true,false,true,true,true,false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,false,false,true,false,false,true,false,true,false,true,false,true,true,false,false,true,true,true,true,false,true,false,1785208,bytes,14399
false,true,false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,true,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,false,4409808,bytes,27701
true,false,true,false,false,true,false,true,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,true,false,true,true,true,true,false,false,false,true,false,true,true,true,true,true,false,false,true,false,true,true,false,false,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,false,true,true,false,false,false,false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,true,false,true,true,false,false,1799824,bytes,14395
false,true,false,true,false,false,true,true,true,false,false,false,true,false,true,true,false,false,false,true,false,true,false,false,true,false,true,true,true,true,false,true,true,false,false,false,true,true,true,false,false,true,false,false,true,false,true,false,true,true,true,true,true,false,true,false,false,true,true,false,false,false,true,false,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,1784752,bytes,14153
true,true,false,false,false,true,true,false,true,true,false,true,false,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,false,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false,false,false,true,false,true,true,true,false,false,1773760,bytes,14126
false,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,true,true,true,false,true,true,false,false,false,false,true,false,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,false,4823120,bytes,31610
false,false,true,false,false,false,true,false,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,false,true,true,false,false,false,false,true,false,true,true,true,true,true,false,false,true,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false,true,false,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,false,false,true,false,false,4499168,bytes,28844
false,true,true,false,false,true,false,true,true,false,true,false,false,false,false,true,true,false,true,false,false,true,false,false,true,true,false,false,true,false,true,true,false,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,true,true,false,true,true,true,false,false,false,true,false,true,true,false,false,true,true,true,false,false,true,false,true,true,false,true,true,false,false,false,false,true,false,true,true,false,false,false,true,4594776,bytes,29979
false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,true,4149704,bytes,27850
false,true,true,true,false,false,false,false,true,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,false,false,true,true,false,false,false,true,false,false,true,true,false,true,false,true,true,true,true,false,false,true,false,true,true,false,true,true,false,false,true,true,true,false,false,4119104,bytes,28665
true,true,false,false,false,false,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,false,false,true,true,false,true,false,true,true,false,true,false,true,false,false,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,false,false,false,true,true,false,false,true,false,true,true,false,false,false,true,true,true,false,1454248,bytes,12066
true,false,false,true,true,false,true,false,true,true,false,true,true,false,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,true,false,true,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,false,true,true,true,false,true,false,true,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,true,4342784,bytes,28296
true,false,false,true,false,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,false,false,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,true,true,2121784,bytes,16430
false,true,true,false,false,true,true,false,true,true,false,false,false,true,false,true,false,true,false,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false,false,false,false,false,true,false,true,true,false,false,true,false,false,true,true,true,false,true,true,false,false,false,2116168,bytes,16768
false,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,true,true,false,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,true,true,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false,false,true,true,false,false,true,false,false,true,true,false,false,false,false,false,true,1462344,bytes,11978
true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,true,true,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,true,true,true,false,true,false,1477032,bytes,12157
false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,true,false,true,true,false,false,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,5207200,bytes,33746
true,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true,false,true,true,false,false,false,true,false,true,false,true,true,false,true,true,false,true,true,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,false,false,true,true,false,false,false,false,true,false,false,true,true,true,false,true,false,true,true,false,false,true,false,false,5009288,bytes,32696
