,--cross-compiling,--fully-static,--enable-lto,--openssl-no-asm,--openssl-is-fips,--experimental-enable-pointer-compression,--without-intl,--without-node-snapshot,--without-node-code-cache,--enable-static,--v8-lite-mode,size,unit
false,true,false,false,true,false,true,false,false,true,false,false,76102128,bytes
true,true,false,false,false,true,false,true,true,false,false,true,41191720,bytes
2,true,false,false,true,false,false,false,false,false,false,false,73987328,bytes
3,true,false,false,true,false,false,true,true,true,true,false,38771224,bytes
4,false,true,false,true,true,false,true,false,false,false,true,38771224,bytes
5,false,true,false,true,true,false,true,false,false,false,false,38771224,bytes
6,true,false,true,false,true,true,true,true,true,true,false,85906888,bytes
7,false,false,true,true,true,false,false,true,false,true,true,128876896,bytes
8,true,false,true,false,false,true,false,false,true,true,true,128982968,bytes
9,false,true,false,true,false,false,false,true,false,true,true,128982968,bytes
10,true,true,true,false,true,false,true,false,false,true,false,128982968,bytes
11,false,false,true,false,false,true,false,false,false,true,true,130477560,bytes
12,false,false,true,true,true,false,false,false,true,false,true,128715832,bytes
13,false,true,false,true,false,true,true,false,true,true,true,128715832,bytes
14,false,true,false,true,false,false,false,false,false,true,true,128715832,bytes
15,false,false,false,true,true,true,true,true,false,true,false,40008584,bytes
16,true,true,true,false,false,false,true,true,true,true,true,40008584,bytes
17,false,true,false,false,false,true,true,false,true,true,true,40008584,bytes
18,false,false,false,false,false,false,true,false,false,false,true,42685136,bytes
19,false,true,false,true,true,true,true,false,true,false,true,42685136,bytes
20,true,false,false,false,false,true,true,false,true,false,true,41206936,bytes
21,false,false,true,false,false,false,false,true,false,false,false,131366904,bytes
22,false,true,false,true,false,true,true,true,true,false,false,131366904,bytes
23,false,false,false,false,true,false,false,false,true,false,false,76593680,bytes
24,false,false,true,true,false,false,true,true,false,true,false,85876456,bytes
25,true,false,true,false,false,true,true,true,true,false,true,87840576,bytes
26,true,true,true,true,true,true,false,false,false,false,false,87840576,bytes
27,true,true,false,false,false,false,false,true,true,false,false,87840576,bytes
28,false,false,true,false,true,false,true,true,true,false,false,87310320,bytes
29,false,false,true,false,true,true,false,true,false,false,false,131856312,bytes
30,false,true,true,true,true,false,true,false,true,true,true,131856312,bytes
31,false,true,true,true,true,false,false,true,true,false,true,131856312,bytes
32,false,true,false,false,true,false,false,false,false,true,true,131856312,bytes
33,false,false,true,true,true,false,true,true,true,true,false,84794008,bytes
34,false,true,true,true,true,true,false,true,false,true,true,84794008,bytes
35,false,false,true,true,true,true,false,false,true,true,true,129055504,bytes
36,true,true,false,false,false,false,true,false,false,false,true,129055504,bytes
37,true,true,true,false,false,false,false,false,true,false,true,129055504,bytes
38,false,false,false,true,false,true,true,true,false,true,false,40008584,bytes
39,true,true,true,false,true,false,false,false,true,true,true,40008584,bytes
40,false,false,false,false,false,false,false,false,false,false,false,77619416,bytes
41,true,false,true,true,false,true,true,true,false,false,true,85751136,bytes
42,false,false,true,true,false,true,false,false,false,true,true,130097384,bytes
43,false,false,false,false,true,false,true,false,false,true,false,40789320,bytes
44,true,false,true,true,true,false,true,false,true,true,true,84794008,bytes
45,true,true,true,true,true,false,false,true,true,true,true,84794008,bytes
46,true,true,false,false,true,false,true,true,false,false,false,84794008,bytes
47,false,false,false,true,false,true,true,false,true,false,true,39552680,bytes
48,false,false,false,false,false,true,true,false,true,true,true,39996096,bytes
49,false,true,true,false,true,false,true,true,false,false,false,39996096,bytes
