--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,false,8598528,bytes,67900
true,true,false,true,true,false,true,true,true,true,false,false,false,true,true,false,true,true,true,true,false,false,true,true,false,false,false,true,true,false,true,10097472,bytes,79333
true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,false,10176784,bytes,79540
false,true,true,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,false,true,9649272,bytes,75645
true,true,false,true,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,false,true,false,true,10097464,bytes,79342
true,true,true,true,true,true,false,false,true,true,false,true,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,false,10092536,bytes,79054
false,false,false,false,true,false,true,true,false,true,true,false,false,false,true,false,false,false,false,false,true,false,true,false,true,true,true,true,true,true,true,9068504,bytes,71144
false,true,true,true,false,false,true,true,false,false,true,false,true,false,true,false,false,true,true,false,true,true,true,true,false,false,true,true,false,false,true,10001392,bytes,78537
false,false,true,false,false,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,8920064,bytes,69900
true,true,true,true,false,true,false,true,true,true,false,true,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,true,true,false,9584504,bytes,75542
false,true,false,false,false,true,false,false,false,true,false,false,true,true,true,false,false,true,true,true,true,false,true,false,false,true,true,false,true,true,true,8990160,bytes,70663
false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,true,true,false,8491816,bytes,67075
true,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,true,false,8637904,bytes,68287
true,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,8698200,bytes,68564
true,false,true,false,false,true,false,true,false,true,false,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,10191144,bytes,79582
true,false,false,false,false,true,true,true,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,true,true,true,true,true,false,false,false,10162608,bytes,79418
false,false,true,false,false,false,false,false,true,true,true,false,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,false,false,true,10202064,bytes,80355
true,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false,true,true,true,true,10213672,bytes,80035
false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,false,true,10228128,bytes,80112
false,false,true,true,false,true,true,true,false,true,false,false,false,true,true,false,true,false,false,true,false,false,false,false,true,false,false,false,true,false,false,10093536,bytes,79320
false,true,false,false,false,false,true,false,true,true,false,true,true,true,true,false,false,false,true,false,true,true,true,true,false,true,true,true,false,false,false,10088160,bytes,78898
false,true,false,true,false,true,true,true,true,true,true,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,10078368,bytes,79096
false,false,true,false,true,true,true,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,false,true,true,true,true,false,false,8968744,bytes,70444
false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,true,false,true,true,false,true,false,true,10228128,bytes,80112
true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,9102240,bytes,71448
false,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,false,false,false,true,true,false,true,true,false,false,false,true,false,10060896,bytes,79008
true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,false,false,true,false,true,true,false,false,true,true,true,false,true,false,true,10060896,bytes,79008
true,true,true,false,true,false,false,false,true,true,false,true,false,false,true,false,true,true,true,false,false,true,false,false,true,false,true,false,false,true,true,10198496,bytes,80560
false,false,true,false,false,true,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,true,9061664,bytes,70867
false,false,false,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,true,true,true,false,false,true,true,true,9757056,bytes,77018
false,false,false,false,true,true,false,false,true,false,true,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,false,false,false,true,false,9795568,bytes,77027
false,true,false,true,true,true,true,true,false,true,false,false,true,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,true,8489272,bytes,66964
true,true,true,true,false,false,true,true,true,true,true,true,true,false,false,false,false,false,true,true,true,false,false,false,true,true,false,false,false,true,false,8565520,bytes,67620
