--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
false,false,true,false,false,false,false,false,true,true,false,false,false,true,true,true,false,true,true,false,false,true,false,true,false,true,false,false,true,false,true,3892808,bytes,63180
false,true,true,false,false,true,false,false,false,false,true,false,true,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,true,false,false,3615720,bytes,57865
false,true,false,true,true,true,true,false,false,false,true,true,true,false,true,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,8522128,bytes,67350
false,true,true,true,false,false,false,false,false,true,false,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,false,true,false,false,10153936,bytes,79939
true,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,false,false,true,false,false,false,true,false,3968832,bytes,65233
false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,false,false,false,true,true,false,4052960,bytes,65548
true,false,false,false,false,false,false,false,true,false,true,true,false,true,true,true,false,true,false,true,false,true,true,true,false,false,true,true,false,true,true,4022392,bytes,65216
false,true,false,true,false,false,false,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,8952448,bytes,70511
false,false,true,true,false,true,true,false,true,false,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,true,true,false,true,true,false,9980448,bytes,78572
true,false,true,true,false,false,true,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,3983232,bytes,65522
false,true,true,true,false,true,true,false,true,true,true,false,false,false,false,true,true,true,true,false,true,false,false,true,false,true,true,true,false,true,false,3990520,bytes,65294
true,true,true,false,false,true,true,true,true,false,false,true,false,true,true,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,false,8517128,bytes,67300
