,MAPE_DT_binary-size,MAPE_RF_binary-size,MAPE_linear_HuberRegressor_binary-size,MAPE_linear_Lasso_binary-size,MAPE_linear_OLS_binary-size,MAPE_linear_Ridge_binary-size,MAPE_polylinear3_HuberRegressor_binary-size,MAPE_polylinear3_Lasso_binary-size,MAPE_polylinear3_OLS_binary-size,MAPE_polylinear3_Ridge_binary-size,MAPE_polylinear_HuberRegressor_binary-size,MAPE_polylinear_Lasso_binary-size,MAPE_polylinear_OLS_binary-size,MAPE_polylinear_Ridge_binary-size,corr,corr_spearman,system,test_size
0,[0.06875413773336492],[0.05970012403078468],0.05893601639809989,0.06566817688363932,0.058982571091412826,0.05874571210798793,0.5175526961280382,0.06621483709521582,0.0579672183376949,0.057967009911911026,0.057870516542010655,0.06609108629311349,0.05803082356996894,0.05803037437892945,0.8568619949703411,0.8324756622321937,xz,0.95
1,[0.13982333533213684],[0.2773278398785756],0.4867526466237588,0.610310434843974,0.4051717367162542,0.41306894740714023,0.4373297726453347,0.6103164695644194,0.45960815560897617,0.4608887308077175,0.4400650271365775,0.6103164717844234,0.4372944295983671,0.44009890000859886,0.9980313187017958,0.9947232272503631,nginx,0.95
2,[0.23314253284888053],[0.27503316191975763],0.49408973189672684,0.5521245627636525,0.3434971060513488,0.3549021315115989,0.40336518526737764,0.5459969059048294,0.3959233727100227,0.3984231259211264,0.40817697588390356,0.5459976618222706,0.36610719202028547,0.36841606687842055,0.33990612087816924,0.6779770014327725,x264,0.95
3,[0.06430675379965975],[0.05034428892393264],0.049000543952894604,0.07044206974733604,0.05305539501917139,0.05099316936636247,0.05431106677390398,0.06881032569158312,0.0526497367196326,0.052900347054889274,0.050888309811744484,0.06881034198813803,0.053610606953433386,0.05090782523515277,0.9983044593218864,0.9745070647082896,sqlite,0.95
4,[0.08258345918707309],[0.04972111763179741],0.027426611013176776,0.08724241364260235,0.06675804884515657,0.06958114105413968,0.02636727329656534,0.08723666598337136,0.027207650734864565,0.027821001616750628,0.02394512854714388,0.08723674863174469,0.02647642787171357,0.025786207010377718,0.34874234695545897,0.6810585028420866,curl,0.95
5,[0.061317634506233176],[0.056499677470484344],0.05882081406832486,0.0707202253589367,0.06361834252672138,0.059941414397950275,0.3989185965241856,0.06614170552023231,0.057504429684521303,0.05749620358495008,0.057322624254083514,0.06622010268471651,0.05688640041959516,0.057351428403139525,0.8568619949703411,0.8324756622321937,xz,0.9
6,[0.1417028946939957],[0.14648973216269542],0.4967540904595424,0.5766674475484678,0.41954032630111127,0.4221095767047857,0.42611643349400624,0.5840250892436689,0.4734342695674373,0.473287420604806,0.407529944712874,0.5840250737490479,0.44557894822860583,0.4456649314309456,0.9980313187017958,0.9947232272503631,nginx,0.9
7,[0.22240796926080703],[0.2001744368336268],0.4778268794410282,0.42197660192193376,0.3001859403274412,0.2944641938448171,0.34356029627412077,0.3470096530425827,0.34617980886680144,0.34694312347354594,0.3489476542465574,0.3478744478218759,0.30602806023445195,0.31048397139192385,0.33990612087816924,0.6779770014327725,x264,0.9
8,[0.053019608562048404],[0.05650861740160252],0.04798120049793152,0.07867821874481182,0.05547178508933056,0.04719761350326574,0.050982418240540346,0.07154441545856693,0.05174113743806675,0.05148958655521518,0.04958287337784986,0.07154495311324344,0.05446241975600482,0.04838344001039311,0.9983044593218864,0.9745070647082896,sqlite,0.9
9,[0.03171610310009689],[0.028433285487537138],0.03227010135851422,0.3294265154298396,0.2694121674427068,0.2722829311559308,0.028017901995266967,0.31772433164166963,0.26049696891776003,0.26170006092893416,0.026852514843379447,0.31773970307426286,0.2630353871006045,0.263961166994666,0.34874234695545897,0.6810585028420866,curl,0.9
10,[0.07189972374295009],[0.06044552637214282],0.0622801317354514,0.07116839000295891,0.0715228623574661,0.06392442576566545,0.30462016275154435,0.06537252020725885,0.058761906456952714,0.05888030371307682,0.19566173486744307,0.06528687525442944,0.059114896332075804,0.059302299669591906,0.8568619949703411,0.8324756622321937,xz,0.8
11,[0.14153141762853078],[0.12503684608125937],0.5451852898634366,0.6721500908972811,0.4162148388457617,0.4207914590214017,0.43464131301803677,0.6723581926758431,0.5048135681665713,0.5047625728639527,0.4125829840715444,0.6723580631409901,0.45949253974925863,0.4596218347029623,0.9980313187017958,0.9947232272503631,nginx,0.8
12,[0.25292327698433803],[0.3682609857464139],0.5695658042538617,0.8130225792833162,0.8130566650672717,0.5363305170126484,0.43772735047513367,0.6142835256950958,0.4891836872209311,0.48704652638125606,0.4457378801148918,0.6184290565834599,0.46226819952973364,0.4586119870482218,0.33990612087816924,0.6779770014327725,x264,0.8
13,[0.004424135627493797],[0.00432089200150451],0.04919428756439446,0.061557032215503696,0.0615752388509435,0.03495688614678011,0.039984979386549616,0.03677148314241574,0.039894461600673475,0.03991196306265336,0.03464794517399283,0.03670139575066382,0.03477378555842067,0.034833276940161376,0.9983044593218864,0.9745070647082896,sqlite,0.8
14,[0.03715157695748333],[0.040250914934390924],0.03748560464197807,0.050919912125330175,0.05741365380196617,0.05234588632477722,0.03923608825834562,0.04970509138583099,0.06184741163910056,0.05580186973369564,0.03884422659550413,0.04899149680461738,0.05979597427419013,0.0544242971300572,0.34874234695545897,0.6810585028420866,curl,0.8
15,[0.06694688115826898],[0.05053386446503201],0.05322685504671793,0.1792949588288253,0.1735004002599291,0.06087574099437403,0.30471574189093253,0.06596579136193981,0.05380760564900865,0.05377202136870542,0.18644511893665017,0.06681258437705943,0.05555980527259532,0.05518425387073801,0.8568619949703411,0.8324756622321937,xz,0.7
16,[0.13209458124216963],[0.11307124264224758],0.42158974168793234,0.5059192714929259,0.32270939277667576,0.3213442368282265,0.4958372287222208,0.48881009362037964,0.3963031006224603,0.3963236597948251,0.4366095792146048,0.4888102095326372,0.35679783733753306,0.35640991327061644,0.9980313187017958,0.9947232272503631,nginx,0.7
17,[0.2825676494605252],[0.20293521255137895],0.41745755729490913,0.44379901481529893,0.44381175574593,0.39828414484846714,0.3463358505451805,0.5452000798724426,0.39861806336838956,0.3988087405205717,0.25320673952726597,0.5623981657615347,0.4072440705472237,0.40289413179139616,0.33990612087816924,0.6779770014327725,x264,0.7
18,[0.0032450593111816046],[0.0032002340111768543],0.04484610945608545,0.04119221869828132,0.04119415931610596,0.037471832560455755,0.04173033478607622,0.035373665757861,0.03960998121069727,0.03967380618550816,0.036157074354109094,0.03529550657927235,0.036592737086237205,0.03645564481489004,0.9983044593218864,0.9745070647082896,sqlite,0.7
19,[0.023370203906295555],[0.021923780394112965],0.025444914418801,0.059341922169096055,0.09698905737468946,0.10029012223887022,0.04763105868958855,0.06225522627787266,0.10883744556999186,0.10433479384616794,0.02615333717445375,0.06222539413941228,0.10218291567892793,0.1036689478531164,0.34874234695545897,0.6810585028420866,curl,0.7
20,[0.07295922528175319],[0.05438874789753032],0.06120867072486691,0.10159732919598068,0.10187269375899875,0.06841936013972909,0.26563901885304264,0.054498793864489366,0.05591011781681992,0.05586159985937526,0.1562335625080463,0.05560070155762307,0.05713153353010132,0.056928560837421836,0.8568619949703411,0.8324756622321937,xz,0.6
21,[0.10207337161775423],[0.09323813705894483],0.3833223900623313,0.39707104207113025,0.28652472357090647,0.2567970590395561,0.4783455384481544,0.40482098998736726,0.35285131748350634,0.352874769809979,0.4079859486170391,0.4048213784429216,0.3074004282390238,0.3074732565912679,0.9980313187017958,0.9947232272503631,nginx,0.6
22,[0.14179292872222504],[0.16066631095855116],0.45420456744690985,0.3923147617845101,0.39231025634308764,0.3812318868585552,0.32980118889577553,0.458309809810118,0.37162300462315184,0.37118340758605634,0.28679342905295946,0.4682374159629494,0.38193702615963804,0.3696997918914445,0.33990612087816924,0.6779770014327725,x264,0.6
23,[0.004376194670276993],[0.003630026433619372],0.0485837656986855,0.036735748406158654,0.036736311172946845,0.036758387736341235,0.03807487338329055,0.03777487008098837,0.03796807026937824,0.037976640942464286,0.0385734947256036,0.03815011707490997,0.03523425879590272,0.035296692324952146,0.9983044593218864,0.9745070647082896,sqlite,0.6
24,[0.03239106738753755],[0.02423286802638614],0.026684582955096126,0.04082218020313167,0.07267983234123193,0.08040757097846674,0.035073099214769164,0.048952052839295296,0.09227531800586089,0.08622579386730916,0.027203811952495747,0.048995639893351116,0.08945850805601742,0.08603556041520957,0.34874234695545897,0.6810585028420866,curl,0.6
