,MAPE_DT_nr-of-gadgets,MAPE_RF_nr-of-gadgets,MAPE_linear_HuberRegressor_nr-of-gadgets,MAPE_linear_Lasso_nr-of-gadgets,MAPE_linear_OLS_nr-of-gadgets,MAPE_linear_Ridge_nr-of-gadgets,MAPE_polylinear3_HuberRegressor_nr-of-gadgets,MAPE_polylinear3_Lasso_nr-of-gadgets,MAPE_polylinear3_OLS_nr-of-gadgets,MAPE_polylinear3_Ridge_nr-of-gadgets,MAPE_polylinear_HuberRegressor_nr-of-gadgets,MAPE_polylinear_Lasso_nr-of-gadgets,MAPE_polylinear_OLS_nr-of-gadgets,MAPE_polylinear_Ridge_nr-of-gadgets,corr,corr_spearman,system,test_size
0,"[0.05409899589551806, 0.04556204769955046, 0.042218990941813514, 0.04971216348441235, 0.06568279446124738, 0.0533437174657004, 0.04448184830920199, 0.04466743716170751, 0.054039368835756184, 0.04977583069905454]","[0.046199507377960816, 0.039835989324677266, 0.03774358102103591, 0.03597566072517212, 0.0408111657301526, 0.04135389700637144, 0.035461773642786173, 0.03817936658558391, 0.04015585281386046, 0.040982879480973976]",0.16669858042342847,0.051660066638156775,0.04997649615915836,0.04912932831997465,0.5823950262276162,0.05246091259939975,0.04872489829836478,0.04866458719887832,0.6368531457201576,0.05534289797680714,0.05489366808793311,0.054996031681466474,0.8492968915576291,0.8303681802091395,xz,0.95
1,"[0.16043940166958065, 0.16274411014772036, 0.13357347958593221, 0.12860833083237178, 0.14581626597417582, 0.11549272850400952, 0.1358768318317378, 0.15198991296291203, 0.15467584832310824, 0.12063631400511877]","[0.1174093346490659, 0.11114973293274952, 0.11264116555072301, 0.1000139995296361, 0.10978117664553957, 0.102739647873402, 0.10393766273825114, 0.12193777393774945, 0.1076121679266491, 0.10809343542746039]",0.33246280839403825,0.3684958165599339,0.32097220549090844,0.32332911448820156,0.8613525148179929,0.38665769500913855,0.4225645072016777,0.4225375613573655,0.8164111599515788,0.3783917967581999,0.45956815312407423,0.4595507565913972,0.998256409261126,0.9961018898375648,nginx,0.95
2,"[0.18163092022345584, 0.1452152618470581, 0.17279487265378923, 0.1890534139120494, 0.1738525819468938, 0.22637870100420282, 0.23747312049078848, 0.16364586117795807, 0.25431031624101547, 0.20429637826064778]","[0.16255296019513618, 0.13186278948117003, 0.1457560544260432, 0.164311871770571, 0.17479857059584542, 0.1663951849030134, 0.1804512216182868, 0.18292752339890264, 0.20781267661252267, 0.1654155652386838]",0.3315227929486244,0.5375699515938861,0.4871743385181228,0.31182462573578856,0.9097343115533221,0.3791127273288327,0.3560611481592606,0.3580568900279023,1.050513815655744,0.37469374668331434,0.8243444017498419,0.8236136437000527,0.5201228574340473,0.8215817912143653,x264,0.95
3,"[0.02344806122782392, 0.04550608244597461, 0.04974693781334118, 0.04404419059831519, 0.03161358812540579, 0.06288602579153879, 0.0765762771012491, 0.036701654891169576, 0.044426122990695566, 0.03163775143688324]","[0.06527432580915728, 0.0481836819193593, 0.05236175251913315, 0.06650368626784102, 0.03517647916920391, 0.05810316883969614, 0.08347893978230504, 0.04685718489509292, 0.04641481379349653, 0.04652773817877278]",0.1454822851386091,0.07344784248435016,0.07384057383365929,0.07183917961834246,0.5110879636532751,0.32645242148795095,0.18452229453329885,0.1846080114418915,0.5103867771027433,0.06541405643449366,0.2989568043894942,0.2980457789254881,0.9032391187305848,0.9876177915552941,sqlite,0.95
4,"[0.13381500631141527, 0.030317719169981102, 0.04845207525267461, 0.02518454492872745, 0.03134922769532005, 0.02555215686978506, 0.03668135510649, 0.1348849958947542, 0.040483940172864046, 0.08074654495585527]","[0.13604969825816243, 0.030728173063415447, 0.035589348916241104, 0.033172544621763035, 0.028908050704831746, 0.02704948005150384, 0.06146763634023758, 0.13634447521212642, 0.0513643800372653, 0.10774688105101216]",0.08735689315601919,0.12559270258669616,0.08735476122929611,0.09616081600940572,0.11225302847755722,0.12554938840007426,0.10859767851986181,0.1112656831059799,0.09893582337399079,0.12554938840007426,0.10018457834575814,0.10360742416250503,0.34874234695545897,0.6810585028420866,curl,0.95
5,"[0.040508289165362754, 0.04170274060504274, 0.043759872047725815, 0.060551268076820604, 0.035891031663455995, 0.044804648713702454, 0.047457512171989916, 0.05205478571337401, 0.0480636702089629, 0.048495120113284274]","[0.03521347843434867, 0.03466228128177067, 0.03566636267071756, 0.038762564426327424, 0.03493817676336265, 0.03642562476757594, 0.04035289233738303, 0.03769522048178172, 0.032461232789195105, 0.0351295037699846]",0.10930640111593835,0.045586172905815146,0.04265795076164318,0.039815953510629304,0.5019955456108841,0.051861840327150945,0.0464055080283352,0.04641896271507316,0.5120483295518147,0.08377753923171954,0.06870450387667904,0.06861355879645671,0.8492968915576291,0.8303681802091395,xz,0.9
6,"[0.14540091638393432, 0.12117478020033268, 0.13903337288729428, 0.1555375187983072, 0.10900833325997851, 0.12767834348661766, 0.12535882173541207, 0.1454374855072637, 0.1386886460108946, 0.1200922477647848]","[0.11082308971775144, 0.12298318592732368, 0.10053120482773224, 0.10665174386147833, 0.09389061548414662, 0.116399925473636, 0.09441778556950707, 0.11341224947296721, 0.09841143700734618, 0.1024900110524081]",0.3409185445011328,0.192754514565051,0.3270511979396835,0.32946628499517194,0.6341669636207817,0.32221987368166577,0.6711941397788422,0.6711818472396518,0.6539180941795378,0.270571025117342,0.8108074099928808,0.8104498469784318,0.998256409261126,0.9961018898375648,nginx,0.9
7,"[0.19140440042864754, 0.16891201124804078, 0.12615326807484448, 0.10140253329017608, 0.19527568476479593, 0.15164718773658079, 0.16980153831383538, 0.11241321106507528, 0.22599605910610232, 0.12423326636324036]","[0.1407648953531836, 0.12406885362199976, 0.12168619265395297, 0.1487589144978944, 0.1884266364930289, 0.11319141549647378, 0.1292546439532633, 0.10290390410048214, 0.16276159568327284, 0.12616368098032452]",0.2042090626834176,0.19851778917418644,0.42322636954687676,0.17927208898423508,0.8429458138978762,0.2801626162518327,0.48248820836395667,0.48421449241186976,0.747778294289022,0.1672759617067052,0.3948644311402659,0.3957055373009981,0.5201228574340473,0.8215817912143653,x264,0.9
8,"[0.026237152793424985, 0.014664227107924411, 0.03250899459466675, 0.007756380385166074, 0.02328827622219473, 0.013910045852463455, 0.01720179760886311, 0.016864497921783288, 0.014004766760382554, 0.01994217930771055]","[0.028981966548676314, 0.024305305384950415, 0.028161554721160345, 0.022114359570472163, 0.024042386234715187, 0.024373039078769393, 0.023517128044690132, 0.03141890121704678, 0.018008611514432882, 0.02558601884363398]",0.12208938904277539,0.0570961426192261,0.06184839907173555,0.05291301998699096,0.7323485830464218,0.14839823083977036,0.1935211625040036,0.19321522827355248,0.8099036875972944,0.05374558550997661,0.15939521391495265,0.1593605582178369,0.9032391187305848,0.9876177915552941,sqlite,0.9
9,"[0.028949963647413656, 0.023298312769602137, 0.024204066948490293, 0.025710721654815635, 0.0353586817570436, 0.04957092095791942, 0.027741543167411353, 0.13353015908482344, 0.026002261711626878, 0.026673262404743207]","[0.0382842468652025, 0.05073443674783956, 0.02629320961970709, 0.031494706719924194, 0.03879817013515054, 0.037803528026982613, 0.06324057350406112, 0.13902265523209328, 0.03266016701983657, 0.056238759689557744]",0.028753032213955254,0.12285913637829028,0.028670157362611526,0.029359584947209184,0.04831838548754034,0.12285914600403053,0.0415170832751508,0.04240559964169963,0.035411246812156905,0.12285914600403053,0.03624075880830254,0.036935828083235304,0.34874234695545897,0.6810585028420866,curl,0.9
