--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,true,false,false,true,true,false,false,true,false,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,false,false,false,900568,bytes,35477
false,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,3096112,bytes,106878
false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,false,true,false,false,false,1738872,bytes,60545
false,true,true,true,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,true,true,false,true,false,false,false,true,false,false,false,false,3096112,bytes,106878
true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,2585520,bytes,93219
false,false,true,true,false,false,true,false,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,false,true,false,1493016,bytes,48192
true,false,false,false,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,3096112,bytes,106878
false,false,true,true,false,true,true,false,true,false,true,false,false,false,true,false,false,true,true,false,true,true,true,false,false,false,false,true,false,false,false,3096112,bytes,106878
false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,false,false,false,2842504,bytes,89014
false,true,true,true,false,true,true,false,true,false,true,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,3096112,bytes,106878
true,false,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,3096112,bytes,106878
false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,true,false,true,true,false,false,true,false,false,false,false,false,true,1595976,bytes,52128
false,false,false,false,true,true,true,false,true,true,false,false,false,false,true,false,false,false,true,true,true,true,false,false,true,false,false,true,false,false,false,1087608,bytes,39033
false,false,true,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,true,false,3096112,bytes,106878
true,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,false,false,false,true,3096112,bytes,106878
true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false,1776272,bytes,61067
false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,1595168,bytes,49980
false,true,true,true,false,true,true,false,true,true,true,false,false,false,false,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,2371280,bytes,76261
true,true,true,true,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,true,false,3096112,bytes,106878
true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,true,false,false,false,true,false,false,false,1225640,bytes,43372
true,false,false,true,false,true,false,false,true,true,true,false,false,false,false,false,true,true,false,true,false,true,false,false,false,true,false,false,true,false,false,2026760,bytes,71825
true,false,false,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,3096112,bytes,106878
true,true,true,true,true,true,false,false,false,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,false,false,false,false,false,false,false,1084336,bytes,38004
true,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,1901712,bytes,63126
true,false,true,false,false,true,true,false,false,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,false,true,false,3096112,bytes,106878
