,--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
0,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,3096112,bytes,106878
1,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,1704056,bytes,62065
2,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,3096112,bytes,106878
3,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,1718552,bytes,58537
4,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,3096112,bytes,106878
5,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,1629640,bytes,53806
6,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,1130520,bytes,44145
7,False,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,True,True,True,False,False,True,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
8,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,2217328,bytes,76805
9,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,1415672,bytes,51251
10,True,False,False,False,False,True,True,False,True,True,True,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,3096112,bytes,106878
11,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,3096112,bytes,106878
12,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,3096112,bytes,106878
13,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,5484032,bytes,53579
14,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,1173656,bytes,41550
15,True,False,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False,False,True,True,True,True,True,False,False,True,False,False,True,False,False,3096112,bytes,106878
16,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,1671088,bytes,53229
17,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,2302360,bytes,77515
18,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,3096112,bytes,106878
19,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,1663296,bytes,59751
20,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,3096112,bytes,106878
21,False,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,8432808,bytes,64602
22,False,False,False,True,False,True,False,False,True,True,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,1013800,bytes,36816
23,True,False,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,False,False,False,3096112,bytes,106878
24,True,False,False,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,True,False,False,False,False,True,False,False,False,3096112,bytes,106878
25,True,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,False,3096112,bytes,106878
26,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,4577040,bytes,42421
27,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,3096112,bytes,106878
28,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,1829544,bytes,65724
29,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,3096112,bytes,106878
30,True,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,2218168,bytes,72943
31,True,False,False,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,1755144,bytes,57312
