--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
true,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,false,true,false,false,false,false,false,false,3096112,bytes,106878
true,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,2194952,bytes,76255
false,true,true,true,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,980728,bytes,31911
true,true,true,true,false,true,false,true,false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,7491752,bytes,45860
false,true,true,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,3096112,bytes,106878
true,false,false,true,false,false,true,false,true,false,true,true,false,false,true,false,false,true,false,true,true,true,true,false,false,true,false,false,false,false,false,3096112,bytes,106878
false,false,false,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false,3096112,bytes,106878
false,false,false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,false,3096112,bytes,106878
false,false,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,1676920,bytes,55598
false,false,false,true,true,true,true,false,true,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,3096112,bytes,106878
false,false,true,true,true,false,true,false,false,true,true,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,1338784,bytes,50068
false,true,true,true,false,true,false,true,true,false,true,false,false,false,false,false,true,true,false,true,true,true,true,false,true,false,false,false,false,false,false,3096112,bytes,106878
false,false,true,false,false,true,false,true,true,false,true,true,false,false,false,false,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,3096112,bytes,106878
true,false,false,true,true,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,1165336,bytes,41588
true,false,false,true,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,1058176,bytes,32887
true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,3096112,bytes,106878
true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,false,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,724440,bytes,29207
true,true,true,true,false,false,true,false,false,false,true,true,false,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,1446744,bytes,50375
false,true,true,true,false,false,true,false,true,true,false,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,false,false,false,false,false,1463704,bytes,49861
false,false,false,false,true,true,true,false,false,false,true,true,false,false,true,false,false,false,false,true,true,true,true,false,false,true,false,false,false,false,false,3096112,bytes,106878
true,false,false,true,true,true,true,false,false,true,true,false,false,false,true,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,3096112,bytes,106878
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3096112,bytes,106878
true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,true,false,false,false,false,false,9509232,bytes,68540
true,true,true,true,true,false,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,3096112,bytes,106878
true,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,784440,bytes,25254
true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,1950096,bytes,71774
true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,false,false,false,3096112,bytes,106878
false,true,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,false,false,false,false,1564248,bytes,58655
true,false,true,true,false,false,false,true,true,false,true,false,false,false,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,5064240,bytes,50190
true,false,false,true,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,3096112,bytes,106878
true,false,true,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1257744,bytes,45941
true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,3096112,bytes,106878
